Sexo:,Edad ,Provincia de  Origen,Ciudad de origen,El lugar donde vivia era: ,Su colegio era ,¿Sus estudios de tercer nivel fueron?,¿Cua¡l es su ultimo nivel de estudio culminado? (con o sin beca Senescyt),¿Qua© estudios cubrio su beca Senescyt?  (por favor seleccione todos los niveles financiados),Pias en donde realizo sus estudios cubiertos por la beca Senescyt del mayor grado financiado:,¿Cua¡l es su a¡rea de especializacion?,Año de convocatoria (mayor grado),Programa de beca financiado (mayor grado),¿Cua¡l es el ultimo nivel de estudios culminado de su padre?,¿Cua¡l es el ultimo nivel de estudios culminado de su madre?,¿Cua¡l es el ultimo nivel de estudios culminado de su madre? [Feedback],¿Cua¡l es su situacion actual?,Provincia actual de Residencia,Ciudad  actual de residencia,El lugar donde reside actualmente es:,Año de retorno,¿Cua¡ntos meses le tomo encontrar su primer empleo en Ecuador desde que retorno al Ecuador?,"En una escala del 1 al 5, ¿qua© tanto utilizaba sus habilidades adquiridas en sus estudios en este primer empleo en Ecuador?",¿Cua¡ntos  de experiencia previa relevante tenia antes de encontrar este empleo?,¿Como se siente en su trabajo?,"Comparado a cuando comenzo su actual empleo, sus habilidades han: ",¿Esta¡ en sus planes trabajar en el exterior una vez terminada la compensacion?,"Si tuviera una oportunidad laboral similar en el exterior y una en Ecuador, ¿qua© preferiria? y ¿por qua©?",¿Tiene algun tra¡mite actualmente que no haya sido respondido por Senescyt? ,"Si tiene algun tra¡mite actualmente que no haya sido respondido por Senescyt, Explique, por favor cua¡l. ",¿Ha sido notificado con la terminacion unilateral del contrato?  ,"Si Senescyt decidiese terminar su contrato de manera unilateral, ¿estaria usted y su familia en condiciones de devolver los costos de su beca?",Tiene temor que Senescyt le notifique por Terminacion Unilateral de Contrato,¿Ha tenido algun problema adicional que no se haya contemplado en esta encuesta?
Femenino,De 25 a 29 ,Santo Domingo de los Tsa¡chilas,Santo Domingo,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Russia,Otro,2017,Cooperacion,Secundaria,Primaria,,Becario retornado,Santo Domingo de los Tsa¡chilas,Santo Domingo,Urbano,2020,Todavia no consigue empleo,1,Menos de 1 año,,,No sa© aun,Me quedaria en el Ecuador,Si,El pago de regreso y del ultimo semestre de estudio ,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Pregrado - tercer nivel,Doctorado PhD,United Kingdom,Ciencias fisicas,2018,Convocatoria abierta,Pregrado - tercer nivel,Maestria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,La modificacion al contrato que yo nunca solicite.,No,No,"Si, porque me encuentro en el exterior",
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Doctorado - PhD,Doctorado PhD,Spain,Ciencias biologicas y afines,2014,Convocatoria abierta,Pregrado - tercer nivel,Especialidades ma©dicas,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,No sa© aun,Me quedaria en el Ecuador,Si,Liquidacion y diferimiento de compensacion ,No,No,"Si, porque me encuentro en el exterior",
Femenino,De 30 a 34 ,Chimborazo,Riobamba,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Doctorado PhD,Spain,Ingenieria y profesiones afines,2018,Convocatoria abierta,Secundaria,Pregrado - tercer nivel,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,Si,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,"Si, porque me encuentro en el exterior",
Masculino,50 años o ma¡s,Guayas,Guayaquil,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Doctorado PhD,Belgium,Matema¡ticas y estadistica,2013,Excelencia,Pregrado - tercer nivel,Secundaria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No sa© aun,Preferiria trabajar en el exterior por razones externas al trabajo,Si,"Extension del contrato. El IFTH ahora Senescyt no ha respondido con la ultima extension de mi contrato, sigo en mi proceso de PhD.",No,Tal vez,"Si, porque me encuentro en el exterior",El cambio constante de personal hace que no se de seguimiento a los contratos de los becarios. En mi caso sigo esperando que me legalicen mi extension del contrato para estar tranquilo y no esperar que haya una terminacion unilateral del contrato porque creen que no he regresado porque me gradua© y me quise quedar.
Femenino,De 30 a 34 ,Guayas,Guayaquil,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Doctorado PhD,United Kingdom,Ingenieria y profesiones afines,2014,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,Si,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,No,,No,No,No,
Femenino,De 30 a 34 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Italy,Ingenieria y profesiones afines,2016,Convocatoria abierta,Secundaria,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2020,Todavia no consigue empleo,,No tenia experiencia,,,No sa© aun,Me quedaria en el Ecuador;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Liquidacion y Extension del periodo de compensacion ,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 35 a 39 ,El Oro,Machala,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Maestria,Argentina,Ingenieria y profesiones afines,2011,Convocatoria abierta,Pregrado - tercer nivel,Secundaria,,Becario retornado,Pichincha,Quito,Rural,2015,10-12 meses,2,De 1 a 3 ,Descontento(a) por no tener estabilidad,permanecido iguales,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Liquidacion Financiera,No,No,"SI, porque no regresa© en el plazo establecido","Debido a la burocracia administrativa de la Universidad en Argentina donde realica© mis estudios superiores y a la emergencia sanitaria mundial, mi titulo todavia se encuentra en tra¡mite desde la fecha de mi graduacion (Marzo, 2018). Tengo el temor de que la Senescyt o el IFTH termine unilateralmente el contrato debido al retraso en la presentacion del titulo, a pesar de haber ya presentado el registro del mismo reconocido ante la Senescyt"
Femenino,De 25 a 29 ,Guayas,Guayaquil,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Especialidades ma©dicas,United Kingdom,Industria y produccion,2016,Excelencia,Maestria,Secundaria,,Becario retornado,Guayas,Guayaquil,Urbano,2018,3-6 meses,2,De 1 a 3 ,Contento(a),permanecido iguales,Si,Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,No,,No,No,No,
Femenino,De 30 a 34 ,Loja,Puyango,Urbano,Publico,En el exterior sin beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Venezuela,Salud,2012,Convocatoria abierta,Pregrado - tercer nivel,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2019,Todavia no consigue empleo,,No tenia experiencia,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor,No,,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Femenino,De 35 a 39 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Posdoctorado,Maestria,Spain,Ingenieria y profesiones afines,2011,Convocatoria abierta,Pregrado - tercer nivel,Maestria,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,Si,Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,Si,"Darme de alta en el sistema SIAC para acogerme a la Compensacion en el exterior. Tengo cuenta de SIAC, pero no puedo ingresar a la web de Formulario de Compensacion, y todos mis emails segun lo mostrado en esta web No han sido respondidos aun, impidiendo la realizacion de la compensacion.",No,No,"Si, porque me encuentro en el exterior","Al ser estudiante de la Convocatoria abierta 2011, no he recibido ninguna comunicacion por parte de la Senescyt y antes IFTH sin que yo la haya solicitado, esto explica por qua© yo no puedo ingresar al sistema SIAC, proque soy de ""un grupo anterior""."
Femenino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Spain,Medio ambiente,2014,Convocatoria abierta,Pregrado - tercer nivel,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2017,3-6 meses,1,De 5 a 10 ,Descontento(a) por ingresos bajos;Descontento(a) por no tener estabilidad;Descontento(a) por ambiente perjudicial;Descontento(a) por pocas posibilidades de progreso,aumentado,Si,Preferiria trabajar en el exterior por razones externas al trabajo,Si,"Yo ya termine mi periodo de compensacion, iba a ir personalmente a pedir un certificado y empezo la pandemia. Envia© un mail y nunca me respondieron",No,No,"Si, porque no encontra© trabajo en el plazo establecido",No me entregan el certificado de finalizacion 
Masculino,De 30 a 34 ,Guayas,Guayaquil,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Doctorado PhD,Argentina,Educacion,2016,No,Posdoctorado,Posdoctorado,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,No sa© aun,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,,No,Tal vez,"Si, porque me encuentro en el exterior",
Femenino,De 18 a 24 ,Santo Domingo de los Tsa¡chilas,Santo Domingo,Urbano,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,United Kingdom,Ingenieria y profesiones afines,2013,Excelencia,Pregrado - tercer nivel,Secundaria,,Becario retornado,Santo Domingo de los Tsa¡chilas,Santo Domingo,Urbano,2019,7-9 meses,1,No tenia experiencia,Descontento(a) por las activ. que realiza,permanecido iguales,Si,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,"Modificacion de contrato por cambio de nombre del programa de estudios, por disminucion del tiempo de estudios y cambio de responsable solidario por razones personales.",No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,50 años o ma¡s,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD,Canada,Artes,2013,2da fase,Pregrado - tercer nivel,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2019,Todavia no consigue empleo,,No tenia experiencia,,,No sa© aun,Me quedaria en el Ecuador,Si,"Llevo ma¡s de 1 año sin que se firme contrato de extension periodo de estudios sin financiamiento, sin embargo de que ya conclui mis estudios y registra© mi titulo en SENESCYT  ",No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Femenino,De 18 a 24 ,Tungurahua,Ambato,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Medio ambiente,2020,Excelencia,Secundaria,Pregrado - tercer nivel,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,No sa© aun,Me quedaria en el Ecuador;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,No,,No,No,"SI, porque no regresa© en el plazo establecido",
Femenino,De 18 a 24 ,Imbabura,Otavalo,Rural,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Netherlands,Humanidades,2015,Excelencia,Maestria,Maestria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,Si,Me quedaria en el Ecuador,No,,No,No,"Si, porque me encuentro en el exterior","Aun tengo un pago por realizarse en septiembre, pero ya termino mis estudios en agosto."
Femenino,De 18 a 24 ,Chimborazo,Riobamba,Urbano,Fiscomisional,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Humanidades,2014,Excelencia,Maestria,Maestria,,Becario retornado,Azuay,Cuenca,Urbano,2020,0-2 meses,4,Menos de 1 año,Muy contento(a),aumentado,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,Si,"Desembolso, Liquidacion ",No,No,No,
Femenino,De 25 a 29 ,Guayas,Guayaquil,Urbano,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Arquitectura y construccion,2015,Excelencia,Secundaria,Secundaria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No sa© aun,Me quedaria en el Ecuador,Si,Extencion del tiempo de estudios,No,No,No,
Femenino,De 25 a 29 ,Chimborazo,Riobamba,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Doctorado PhD,Spain,Veterinaria,2018,Convocatoria abierta,Maestria,Pregrado - tercer nivel,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No,Me quedaria en el Ecuador,Si,Desembolso con 1 mes de retraso,No,No,"Si, porque me encuentro en el exterior",No
Masculino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Ciencias biologicas y afines,2013,Excelencia,Secundaria,Maestria,,Becario retornado,Pichincha,Quito,Urbano,2019,Todavia no consigue empleo,,No tenia experiencia,,,No sa© aun,Me quedaria en el Ecuador,No,,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Femenino,De 25 a 29 ,Imbabura,Otavalo,Urbano,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Australia,Ingenieria y profesiones afines,2018,Excelencia,Pregrado - tercer nivel,Secundaria,,Becario retornado,Imbabura,Otavalo,Urbano,2019,0-2 meses,2,Menos de 1 año,,,No sa© aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,No,No
Femenino,De 30 a 34 ,Tungurahua,Ambato,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Doctorado PhD,Netherlands,Otro,2018,Convocatoria abierta,Secundaria,Primaria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No sa© aun,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,"Si, porque me encuentro en el exterior",
Femenino,De 18 a 24 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,United Kingdom,Ciencias biologicas y afines,2014,Excelencia,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,Si,Me quedaria en el Ecuador,Si,Diferimiento de periodo de compensacion por estudios no financiados por SENESCYT ,No,No,"Si, porque me encuentro en el exterior","Me negaron la extension de beca bajo el acuerdo 123 por ""falta de presupuesto"""
Femenino,De 25 a 29 ,Pichincha,Quito,Urbano,En el exterior,En Ecuador en una universidad privada,Maestria,Maestria,Singapore,Ingenieria y profesiones afines,2014,Excelencia,Secundaria,Doctorado PhD,,Becario retornado,Pichincha,Quito,Urbano,2019,3-6 meses,2,Menos de 1 año,Muy contento(a);Descontento(a) por ingresos bajos,aumentado,Si,Preferiria trabajar en el exterior por razones externas al trabajo,Si,Solicitud de liquidacion,No,No,"Si, porque no encontra© trabajo en el plazo establecido","Retrasos en los pagos cuando estaba estudiando, ma¡s de 2  sin respuesta para una solicitud de contrato modificatorio, muchas veces me dieron informacion erronea en el IFTH y no se aprueban mecanismos de compensacion simulta¡neos ni por publicaciones"
Masculino,De 18 a 24 ,Tungurahua,Ambato,Urbano,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Salud,2014,Convocatoria abierta,Doctorado PhD,Doctorado PhD,,Becario retornado,Tungurahua,Ambato,Urbano,2020,Todavia no consigue empleo,1,Menos de 1 año,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,Liquidacion de la Beca,No,No,,
Masculino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En el exterior sin beca Senescyt,Maestria,Maestria,United Kingdom,Matema¡ticas y estadistica,2014,Excelencia,Maestria,Maestria,,Becario retornado,Guayas,Guayaquil,Urbano,2015,0-2 meses,5,Menos de 1 año,Contento(a),aumentado,No,Me quedaria en el Ecuador;Preferiria trabajar en el exterior por razones externas al trabajo,Si,Liquidacion,No,No,No,
Femenino,De 25 a 29 ,Pichincha,Quito,Urbano,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Otro,2019,Excelencia,Especialidades ma©dicas,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2019,3-6 meses,4,Menos de 1 año,Descontento(a) por ingresos bajos;Descontento(a) por muchas horas de trabajo,aumentado,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Modificacion de fechas en contrato y liquidacion ,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD,Chile,Matema¡ticas y estadistica,2016,Convocatoria abierta,Especialidades ma©dicas,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2020,Todavia no consigue empleo,3,No tenia experiencia,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Liquidacion ,No,No,"SI, porque no regresa© en el plazo establecido",
Femenino,De 18 a 24 ,Azuay,Cuenca,Rural,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Ciencias biologicas y afines,2020,Excelencia,Primaria,Secundaria,,Becario retornado,Azuay,Cuenca,Rural,2020,Todavia no consigue empleo,,No tenia experiencia,,,No sa© aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Liquidacion ,No,No,No,
Femenino,De 18 a 24 ,Imbabura,Ibarra,Urbano,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Ciencias biologicas y afines,2016,Excelencia,Pregrado - tercer nivel,Secundaria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No sa© aun,Me quedaria en el Ecuador,No,,No,No,No,
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Maestria,Netherlands,Agricultura,2017,Excelencia,Pregrado - tercer nivel,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2020,0-2 meses,1,De 5 a 10 ,Descontento(a) por ingresos bajos;Descontento(a) por las activ. que realiza;Descontento(a) por pocas posibilidades de progreso,permanecido iguales,No sa© aun,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Compensacion ,No,No,No,
Femenino,De 18 a 24 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Netherlands,Ciencias sociales y del comportamiento,2017,GAR,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,No sa© aun,Me quedaria en el Ecuador,No,,No,No,No,
Femenino,De 18 a 24 ,Pichincha,Rumiñahui,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Ciencias biologicas y afines,2015,Excelencia,Secundaria,Secundaria,,Becario retornado,Pichincha,Rumiñahui,Urbano,2019,Todavia no consigue empleo,,No tenia experiencia,Descontento(a) por no tener estabilidad,disminuido,Si,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,liquidacion,No,No,No,
Femenino,De 35 a 39 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Posdoctorado,Doctorado PhD;Maestria,United States of America,Ingenieria y profesiones afines,2012,Excelencia,Maestria,Doctorado PhD,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,No sa© aun,Me quedaria en el Ecuador,Si,diferimiento de retorno ,No,No,No,No poder volver porque tengo familia que mantener y en ecuador la pandemia ha destruido las plazas de trabajo 
Masculino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Maestria,Maestria;Pregrado - tercer nivel,United Kingdom,Ciencias sociales y del comportamiento,2013,Excelencia,Maestria,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2018,3-6 meses,3,No tenia experiencia,Descontento(a) por no tener estabilidad,aumentado,No sa© aun,Me quedaria en el Ecuador,No,,No,No,No,
Masculino,De 35 a 39 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Colombia,Ingenieria y profesiones afines,2017,Cooperacion,Maestria,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2019,0-2 meses,5,Ma¡s de 10 ,Descontento(a) por ingresos bajos,aumentado,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 35 a 39 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Doctorado - PhD,Doctorado PhD,United Kingdom,Ciencias sociales y del comportamiento,2013,Excelencia,Doctorado PhD,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2020,Todavia no consigue empleo,1,De 5 a 10 ,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,Finiquito contrato. Registro de titulo.,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Publico,En el exterior con beca Senescyt,Maestria,Maestria,Belgium,Industria y produccion,2016,Convocatoria abierta,Maestria,Maestria,,Becario retornado,Pichincha,Quito,Urbano,2018,0-2 meses,5,De 1 a 3 ,Contento(a),aumentado,No sa© aun,Me quedaria en el Ecuador,Si,Liquidacion,No,No,No,
Femenino,De 30 a 34 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Spain,Ingenieria y profesiones afines,2016,Convocatoria abierta,Maestria,Maestria,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,No sa© aun,Me quedaria en el Ecuador,Si,Liquidacion de la beca,No,No,"Si, porque me encuentro en el exterior",
Masculino,De 18 a 24 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Tecnologias de la informacion y la comunicacion,2019,Excelencia,Secundaria,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2019,7-9 meses,2,De 1 a 3 ,Descontento(a) por ingresos bajos;Descontento(a) por sobrecarga de trabajo;Descontento(a) por las activ. que realiza;Descontento(a) por pocas posibilidades de progreso,permanecido iguales,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Liquidacion financiera de mi beca,No,No,"Si, porque sali ma¡s de 30 dias al año del pias",
Femenino,De 18 a 24 ,Cañar,Cañar,Urbano,Fiscomisional,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Ciencias biologicas y afines,2015,Excelencia,Primaria,Primaria,,Becario retornado,Cañar,Cañar,Urbano,2020,Todavia no consigue empleo,,No tenia experiencia,,,No sa© aun,Me quedaria en el Ecuador;Preferiria trabajar en el exterior porque la estabilidad es mayor,Si,Liquidacion y preguntas ,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Femenino,De 35 a 39 ,Loja,Loja,Urbano,Fiscomisional,En Ecuador en una universidad privada,Doctorado - PhD,Doctorado PhD;Maestria,Spain,Salud,2015,Excelencia,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2020,3-6 meses,1,De 3 a 5 ,Descontento(a) por muchas horas de trabajo,permanecido iguales,Si,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Liquidacion de beca,No,No,No,
Masculino,De 35 a 39 ,El Oro,Machala,Urbano,Publico,En Ecuador en una universidad publica,Pregrado - tercer nivel,Especialidades ma©dicas,Cuba,Salud,2018,Convocatoria abierta,Secundaria,Pregrado - tercer nivel,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No sa© aun,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,No pago,No,No,No,
Femenino,De 25 a 29 ,Guayas,Guayaquil,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,United Kingdom,Humanidades,2012,Excelencia,Pregrado - tercer nivel,Maestria,,Becario retornado,Guayas,Guayaquil,Urbano,2017,7-9 meses,2,No tenia experiencia,Descontento(a) por ingresos bajos;Descontento(a) por muchas horas de trabajo;Descontento(a) por sobrecarga de trabajo;Descontento(a) por ambiente perjudicial;Descontento(a) por pocas posibilidades de progreso,aumentado,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,No,,No,No,No,
Femenino,De 18 a 24 ,Pichincha,Quito,Urbano,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Arquitectura y construccion,2020,Excelencia,Secundaria,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2019,Todavia no consigue empleo,,Menos de 1 año,,,No sa© aun,Me quedaria en el Ecuador,No,,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Femenino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Maestria,United States of America,Otro,2014,Convocatoria abierta,Pregrado - tercer nivel,Secundaria,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,No,Me quedaria en el Ecuador,Si,Diferimiento de compensacion por estudios sin financiamiento del Senescyt,Si,No,"Si, porque me encuentro en el exterior",El tra¡mite se dejo notificando pero terminan el contrato a pesar de ellos nunca responder a tra¡mites 
